Name,Elo,Wins,Losses,MatchesPlayed
Dosedel S.,425,21,36,57
Ljubicic I.,1140,382,254,636
Clement A.,460,243,251,494
Enqvist T.,625,135,110,245
Escude N.,695,107,68,175
Baccanello P.,475,2,7,9
Knippschild J.,435,14,27,41
Federer R.,5060,1157,245,1402
Fromberg R.,445,19,30,49
Woodbridge T.,480,8,12,20
Arthurs W.,355,104,133,237
Gambill J.M.,560,135,123,258
Grosjean S.,920,262,178,440
Ilie A.,395,40,61,101
Balcells J.,460,34,42,76
Henman T.,1140,273,145,418
Hewitt L.,1945,494,205,699
Woodforde M.,485,3,6,9
Tebbutt M.,495,1,2,3
Lisnard J.,445,8,19,27
Martin A.,200,191,251,442
Spadea V.,340,161,193,354
Draper S.,415,17,34,51
Norman M.,655,103,72,175
Petrovic D.,475,4,9,13
Huet S.,430,6,20,26
Pozzi G.,430,31,45,76
Sekulov J.,470,3,9,12
Stoltenberg J.,540,28,20,48
Hrbaty D.,530,224,218,442
Goldstein P.,390,69,91,160
Vinck C.,420,10,26,36
Kumar S.,495,0,1,1
Agenor R.,435,6,19,25
Behrend T.,350,39,69,108
Popp A.,400,44,64,108
Rochus C.,55,108,197,305
Damm M.,455,17,26,43
Delgado J.,410,9,27,36
Black B.,480,35,39,74
Spottl M.,490,0,2,2
Golmard J.,585,73,56,129
Hantschk M.,440,23,35,58
Tieleman L.,460,10,18,28
Kroslak J.,470,6,12,18
Jonsson F.,440,5,17,22
Ketola T.,465,6,13,19
Ogorodov O.,480,4,8,12
Zib T.,235,36,89,125
Manta L.,460,4,12,16
Paes L.,475,4,9,13
Boutter J.,395,57,78,135
Ram A.,460,1,9,10
Pioline C.,490,55,57,112
Sanguinetti D.,265,113,160,273
Voinea A.,390,44,66,110
Kilderry P.,485,0,3,3
Stanoytchev O.,430,7,21,28
Tabara M.,430,31,45,76
Kafelnikov Y.,910,183,101,284
Ishii Y.,480,0,4,4
Vanek J.,240,64,116,180
Vinciguerra A.,460,72,80,152
Lopez-Moron A.,460,1,9,10
Bastl G.,315,37,74,111
Novak J.,800,206,146,352
Al-Alawi S.K.,490,0,2,2
Berasategui A.,445,4,15,19
Caratti C.,455,2,11,13
Heuberger I.,370,24,50,74
Arazi H.,520,106,102,208
Cherkasov A.,490,1,3,4
El Aynaoui Y.,705,150,109,259
Dupuis A.,280,72,116,188
Luxa P.,465,0,7,7
Gaudio G.,835,236,169,405
Kiefer N.,815,219,156,375
Tarango J.,395,11,32,43
Puerta M.,575,84,69,153
Mirnyi M.,440,189,201,390
Santoro F.,530,212,206,418
Burgsmuller L.,245,61,112,173
Diaz J.,400,10,30,40
Schalken S.,700,165,125,290
Schuettler R.,470,261,267,528
Sanchez J.,495,0,1,1
Siemerink J.,425,18,33,51
Squillari F.,490,93,95,188
Tillstrom M.,500,15,15,30
Ivanisevic G.,445,46,57,103
Vicente F.,245,96,147,243
Vacek D.,415,6,23,29
Marin J.A.,355,24,53,77
van Lottum J.,380,18,42,60
Chang M.,460,65,73,138
Ferrero J.C.,1440,422,234,656
Sargsian S.,320,88,124,212
Gustafsson M.,520,35,31,66
Nielsen M.,465,1,8,9
Haas T.,1450,417,227,644
Johansson T.,645,196,167,363
Weiner G.,450,10,20,30
Costa F.,480,0,4,4
Bjorkman J.,455,171,180,351
Rosset M.,440,60,72,132
Sell M.,500,1,1,2
Woodruff C.,445,29,40,69
Mantilla F.,520,117,113,230
Kuerten G.,1030,201,95,296
Clavet F.,390,61,83,144
Zabaleta M.,475,142,147,289
Corretja A.,675,134,99,233
Ullyett K.,485,2,5,7
Costa A.,560,138,126,264
Koubek S.,295,155,196,351
Meligeni F.,435,52,65,117
Kucera K.,510,84,82,166
Lapentti N.,480,176,180,356
Safin M.,1185,331,194,525
Martin T.,565,75,62,137
Medvedev A.,495,29,30,59
Agassi A.,1385,257,80,337
Alami K.,390,26,48,74
Alonso J.,480,4,8,12
Black W.,445,13,24,37
Rodriguez M.,475,5,10,15
Parmar A.,440,12,24,36
Courier J.,495,4,5,9
Ferreira W.,630,115,89,204
Motomura G.,445,4,15,19
Saulnier C.,330,71,105,176
Karbacher B.,490,0,2,2
Hill M.,495,1,2,3
Kulti N.,475,0,5,5
Canas G.,855,211,140,351
Cadart R.,490,2,4,6
Krajicek R.,565,43,30,73
Llodra M.,410,176,194,370
Mamiit C.,330,29,63,92
Hipfl M.,435,35,48,83
Philippoussis M.,680,126,90,216
Okun N.,395,20,41,61
Portas A.,285,87,130,217
O'Brien A.,475,3,8,11
Pretzsch A.,455,6,15,21
Sampras P.,795,98,39,137
Blanco G.,355,53,82,135
Sluiter R.,325,75,110,185
Gaudenzi A.,365,38,65,103
Sirianni J.,460,5,13,18
Srichaphan P.,650,198,168,366
Stafford G.,500,1,1,2
Lareau S.,460,9,17,26
Wessels P.,475,29,34,63
Gumy H.,460,11,19,30
Gross O.,475,3,8,11
Alvarez E.,470,6,12,18
Prinosil D.,435,31,44,75
Pavel A.,540,176,168,344
di Pasquale A.,350,27,57,84
Guardiola T.,475,2,7,9
Raoux G.,490,0,2,2
Roux L.,480,4,8,12
King P.,465,1,8,9
Taino E.,470,10,16,26
Salzenstein J.,425,11,26,37
Gimelstob J.,295,53,94,147
Blake J.,1015,331,228,559
Larsson M.,525,31,26,57
Liukko V.,500,2,2,4
Malisse X.,625,256,231,487
Humphries S.,480,0,4,4
Massu N.,540,210,202,412
Levy H.,315,39,76,115
