Name,Elo,Wins,Losses,MatchesPlayed
Melzer J.,617.7345652153048,289,266,555
Spadea V.,415.97685986500653,112,126,238
Dent T.,583.7043152958714,80,78,158
Horna L.,501.94172038110503,85,94,179
Ancic M.,747.7990239572955,172,94,266
Martin A.,488.4722981574949,101,148,249
Beck K.,392.42570645139665,48,80,128
Vahaly B.,401.69581826522034,3,13,16
Moodie W.,543.0369611251376,38,51,89
Nieminen J.,530.3523877427207,281,263,544
Arthurs W.,540.4458716324667,38,48,86
Karlovic I.,494.9088314053328,340,310,650
Elsner D.,461.6899521106468,3,6,9
Sanguinetti D.,441.2061415608005,49,75,124
Lapentti N.,509.1848042677093,57,85,142
Labadze I.,453.1443058405055,19,30,49
Benneteau J.,651.6139476381024,256,276,532
Hrbaty D.,449.85337403563403,115,108,223
Clement A.,509.6296792082101,124,159,283
Hanescu V.,557.3320802082667,160,200,360
Burgsmuller L.,365.52208431910185,18,47,65
Llodra M.,633.2444621464384,153,151,304
Saulnier C.,484.96563894790205,48,58,106
Ginepri R.,541.7240886176425,144,154,298
Canas G.,507.48977569265264,118,82,200
Sluiter R.,480.9528306379471,36,55,91
Rusedski G.,542.5156194438221,57,50,107
Wawrinka S.,590.7534849684235,532,331,863
Ferreira W.,476.94925506444685,12,15,27
Reid T.,453.1666039325716,11,14,25
Verdasco F.,428.7777443805618,519,418,937
Ferrer D.,671.4902923364664,649,325,974
Levy H.,344.5947142293649,6,22,28
Portas A.,452.2541325002543,16,37,53
Blanco G.,383.99911370197304,7,19,26
van Lottum J.,400.48288628964974,3,12,15
Andreev I.,538.4314970183711,209,204,413
Ramirez-Hidalgo R.,352.33381599306733,61,116,177
Mankad H.,451.07759280277105,0,3,3
Amritraj P.,480.6150208940528,11,16,27
Dupuis A.,471.32355440108716,28,39,67
Popp A.,424.87709846046886,15,28,43
Mutis O.,412.4322629114386,7,16,23
Goldstein P.,498.4783977576572,39,51,90
Lisnard J.R.,377.3255062221072,13,40,53
Pless K.,385.88519100158044,12,38,50
Montanes A.,563.3855411172682,205,230,435
Srichaphan P.,576.3608888283441,97,89,186
Schalken S.,520.1649324067231,24,23,47
Udomchoke D.,310.39468898117104,14,49,63
Rastogi K.,467.29519489836684,1,4,5
Knowle J.,461.97858355222985,3,7,10
Moya C.,552.1817269645172,184,110,294
Okun N.,404.86637045125764,8,18,26
Vacek J.,449.7848001374362,7,16,23
Mantilla F.,517.4199077000459,29,32,61
Robredo T.,531.9628801778814,403,263,666
Tursunov D.,531.6278779315602,208,195,403
Nadal R.,919.963032092548,997,197,1194
Ascione T.,342.57665298068633,17,46,63
Carlsen K.,480.5185000826172,43,63,106
Khalfan S.,471.4480896760847,0,2,2
Heuberger I.,438.2974323019634,9,16,25
Sargsian S.,404.08532057438265,19,36,55
Carraz G.,382.3150725432851,17,29,46
Schuettler R.,479.2760188787874,107,160,267
Youzhny M.,471.01124761182643,382,305,687
Ulihrach B.,394.5041932835973,11,28,39
Kiefer N.,685.5211517857707,127,80,207
Enqvist T.,433.9161518328888,19,31,50
Arazi H.,449.8600070205232,13,19,32
Henman T.,567.8715968907834,98,70,168
Sanchez D.,438.461311227839,27,41,68
Hantschk M.,484.0,0,1,1
Grosjean S.,500.61001036454627,103,89,192
Chela J.I.,488.7557689910794,190,181,371
Rochus O.,487.93996972866006,154,180,334
Volandri F.,348.64670694803016,142,179,321
Calleri A.,471.74299247481053,112,106,218
Soderling R.,989.7671490242078,268,146,414
Gambill J.M.,432.85772282040705,23,36,59
Massu N.,427.38442939990654,107,123,230
Ljubicic I.,657.4987898338563,283,165,448
Escude N.,587.508864382432,15,7,22
El Aynaoui Y.,510.7507288874994,9,17,26
Davydenko N.,588.9178106291946,411,229,640
Roddick A.,831.0052848353665,401,128,529
Koubek S.,532.2153890930174,74,93,167
Philippoussis M.,586.1294687979173,28,33,61
Bjorkman J.,523.1854324857951,72,92,164
Lee H.T.,527.0817120419777,70,86,156
Malisse X.,573.9541197874023,172,161,333
Novak J.,563.4174849693277,68,55,123
Gonzalez F.,657.2867281622387,236,126,362
Coria G.,555.637777318553,95,51,146
Santoro F.,557.4648735482332,105,109,214
Gaudio G.,442.36585524453596,115,84,199
Stepanek R.,689.6114222225059,308,227,535
Kohlschreiber P.,540.8320418791169,424,342,766
Muller G.,556.6407009311107,192,196,388
Corretja A.,395.9117383151771,12,24,36
Kuerten G.,404.13744051863216,27,30,57
Nielsen M.,462.4511977951528,0,3,3
Hemmes F.,500.7024671725246,1,1,2
Rea S.,483.263693206478,0,1,1
Martin T.,453.63562784990984,10,15,25
Hewitt L.,572.6777335060746,285,150,435
Johansson J.,674.0065385246342,65,39,104
Blake J.,562.4261695762328,258,170,428
Mirnyi M.,491.2060828329712,80,95,175
Verkerk M.,431.42022674655936,21,25,46
Kucera V.,500.0339081301692,1,1,2
Lopez F.,415.7006891240663,420,411,831
Fish M.,781.3349241767314,224,149,373
Bogomolov A.,499.43972747033973,59,87,146
Ferrero J.,467.36060303397176,0,2,2
Guccione C.,454.59101517246756,30,53,83
Costa A.,483.7656566891967,31,41,72
Jones A.,463.48678826048666,2,7,9
Patience O.,384.3199600332878,26,50,76
Hernandez O.,403.4246026256428,60,114,174
Golmard J.,487.6837993281028,3,4,7
Acasuso J.,637.4990471190006,136,120,256
Behrend T.,373.98216291509505,16,35,51
Mahut N.,610.0192416114002,172,204,376
Berdych T.,714.6652586871946,575,309,884
Saretta F.,468.44756169116005,25,35,60
Miranda I.,484.10686246518446,1,2,3
Safin M.,646.5444250324308,164,118,282
Larkham T.,484.0,0,1,1
Agassi A.,745.6853573988074,82,32,114
Kutsenko V.,485.31208639965564,0,1,1
van Scheppingen D.,427.9723662954008,8,17,25
Morrison J.,421.7458595833954,19,29,48
Federer R.,997.8607799123852,962,160,1122
Karanusic R.,400.942548770183,11,34,45
Tabara M.,435.28783535140485,7,14,21
Nalbandian D.,747.6250424578736,262,123,385
Mello R.,424.4059544083721,43,77,120
Gasquet R.,473.3002235803571,570,364,934
Mayer F.,480.70004973780107,218,234,452
Kucera K.,462.4000725521108,11,16,27
Luczak P.,422.45885020161126,31,70,101
Salzenstein J.,413.71799127996735,6,16,22
Weiner G.,419.8033094332177,7,14,21
Pavel A.,457.5652869041043,72,86,158
de Chaunac S.,395.7248294961087,3,14,17
Rochus C.,350.17569452484014,60,114,174
Ferrero J.C.,649.1111018001505,226,151,377
Johansson T.,549.7980525907794,108,98,206
Santopadre V.,484.80551349276004,0,1,1
Ivanisevic G.,460.42722548160907,4,9,13
Seppi A.,498.28703140455974,347,391,738
Bracciali D.,477.87075673447924,29,48,77
Bohli S.,379.1042014945434,2,18,20
Galimberti G.,465.01588768860466,1,3,4
Kendrick R.,432.16938395507924,29,66,95
Hippensteel K.,470.67701687725884,1,3,4
Vliegen K.,420.7102713992228,74,101,175
Reichel A.,482.5625781841652,0,1,1
Mamiit C.,489.1491200577499,3,4,7
Fleishman Z.,457.2199114987529,5,13,18
Zabaleta M.,501.22006158373216,56,53,109
Vassallo-Arguello M.,395.1440901527169,43,72,115
Cermak F.,482.8477720599935,4,6,10
Garcia A.,359.2126795994133,7,19,26
Capdeville P.,377.83352004381874,34,64,98
Squillari F.,511.7337872556107,10,9,19
Marin J.A.,371.916201644895,6,19,25
Hormazabal G.,466.70274958542603,0,2,2
Gamonal H.,483.52903219417806,0,1,1
Monaco J.,667.6834324126839,306,241,547
Lopez M.,421.38249756671297,11,21,32
Moyano D.,482.53204341027856,0,1,1
Lapentti G.,400.6669453519303,6,18,24
Delic A.,472.66280084981105,23,48,71
Haas T.,590.9366387276929,297,173,470
Niemeyer F.,474.3823006031604,3,9,12
Bryan B.,484.67757168954324,0,1,1
Taino E.,473.40847049898946,1,3,4
Baker B.,513.439333926708,20,33,53
Cakl T.,428.26453098170947,3,9,12
Ferreiro F.,500.76386625699797,2,3,5
Braga P.,482.02277117422,0,1,1
Rosset M.,453.15062522636373,4,8,12
Norman D.,408.6591840982365,9,27,36
Hernandez A.,463.2692392554759,1,4,5
Gallardo M.,467.73659377991913,0,2,2
Dell'Acqua M.,471.035370525743,1,4,5
Al Ghareeb M.,466.559669408137,0,5,5
Bahrouzyan O.,462.83521930902185,0,3,3
Zib T.,392.94179376957896,27,60,87
Evans B.,443.9768984150823,6,15,21
Phillips T.,484.2654502424824,0,1,1
Marcaccio G.,488.06126710701005,2,3,5
Allegro Y.,485.2289549210084,0,1,1
Larose S.,485.6017093769421,1,2,3
Browne F.,500.01085126816497,1,1,2
Hernych J.,592.2959002736543,74,111,185
Boutter J.,430.8062649870617,0,5,5
Mazarakis V.,468.19394807261847,0,3,3
Savolt A.,466.7667173107072,0,2,2
Tavares L.,489.95390703750195,1,2,3
Rocha D.,516.0,1,0,1
Vanek J.,424.91294650271334,34,70,104
Odesnik W.,508.67733742874907,40,55,95
Robert S.,446.43468051189086,37,75,112
Faurel J.C.,456.87253886830285,2,7,9
Veronelli D.,483.3883846571161,0,1,1
Peya A.,360.5116835339517,14,40,54
Garcia-Lopez G.,505.22225259902217,286,346,632
Burniol G.,471.2851924269417,0,2,2
Almagro N.,656.498805457858,370,257,627
Vicente F.,313.55329966195984,11,33,44
Eschauer W.,361.491532325041,8,25,33
Matos-Gil I.,474.51812305050925,0,2,2
Calatrava A.,399.8070207844824,12,27,39
Devilder N.,415.3432803609826,21,47,68
Lisnard J.,446.64099924155744,1,4,5
Vico U.,464.25184499406606,2,5,7
Chela J.,523.3632245375146,3,2,5
Perez D.,464.58900472750986,0,2,2
Navarro S.,482.2546928984212,0,1,1
Waske A.,439.93046454689994,21,38,59
Pashanski B.,423.27046054437966,22,47,69
Kratochvil M.,442.6068327116721,5,9,14
Kindlmann D.,422.4272245210835,1,11,12
di Mauro A.,389.3716106999379,14,34,48
Pescosolido S.,462.7337788524405,1,4,5
Abel M.,482.7525292143729,0,1,1
Elseneer G.,393.81834922944466,6,16,22
Tahiri M.,472.023449495512,1,3,4
Sabau R.,360.60190914033336,9,25,34
Ventura S.,398.21612801468933,37,57,94
Vagnozzi S.,476.8567246849228,3,7,10
Guzman J.P.,414.21959491870086,6,14,20
El Aarej M.,466.4439069747599,0,2,2
Krajan Z.,492.92220218988064,1,2,3
di Pasquale A.,415.86321294280367,2,9,11
Rehnquist B.,472.95110939175044,3,8,11
Koellerer D.,455.0349440158506,19,31,50
Armando H.,474.40773364104035,9,15,24
Stoppini A.,480.117243064937,3,8,11
Zimonjic N.,481.95433150660716,2,5,7
Serra F.,424.38216827625035,115,166,281
Haehnel J.,397.479859676082,8,18,26
Jeanpierre J.,522.055884173602,3,2,5
Gicquel M.,463.0051972064456,88,107,195
Voltchkov V.,477.51693621611946,2,4,6
Tipsarevic J.,557.6799583440088,233,212,445
Starace P.,534.1880966475239,140,175,315
Kim K.,368.5015180789611,36,80,116
Falla A.,507.4689946617466,90,153,243
Prinosil D.,485.42547723273645,0,1,1
Chiudinelli M.,436.12218937224884,44,81,125
Berrer M.,468.2669042795992,81,138,219
Marray J.,472.4401921553437,4,7,11
Dancevic F.,487.7967404048583,51,81,132
Parmar A.,471.0266171822169,3,7,10
Whitehouse W.,498.32545483444613,4,5,9
Delgado J.,478.90679453763465,3,6,9
Lu Y.H.,561.0498898323345,136,193,329
Ancic I.,521.3661471795733,2,1,3
Flanagan I.,516.6404559692576,2,1,3
Suzuki T.,542.7497965725904,8,9,17
Bastl G.,418.2080358529019,10,25,35
Kohlmann M.,496.8118418408441,6,7,13
Wessels P.,509.43291147817104,12,17,29
Scherrer J.C.,472.0940486842907,1,3,4
Petzschner P.,567.8214831513654,81,96,177
