Date,Elo
2004-01-06,500.0
2004-01-06,484.0
2004-01-13,502.2
2004-01-14,518.13
2004-01-16,535.5
2004-01-17,523.27
2004-01-20,538.2
2004-01-22,553.88
2004-01-24,538.34
2004-02-11,551.86
2004-02-12,534.34
2004-03-02,550.73
2004-03-03,563.39
2004-03-05,545.26
2004-03-13,556.78
2004-03-15,540.38
2004-03-29,564.94
2004-03-30,549.29
2004-04-14,562.72
2004-04-15,576.93
2004-07-06,589.58
2004-07-08,605.65
2004-07-09,592.12
2004-07-14,602.38
2004-07-15,618.21
2004-07-16,598.1
2004-07-28,587.05
2004-08-02,571.94
2004-08-10,584.45
2004-08-11,595.08
2004-08-14,608.68
2004-08-14,621.46
2004-08-15,633.13
2004-09-01,641.65
2004-09-04,633.26
2004-09-28,641.69
2004-09-29,617.43
2004-10-06,595.72
2004-10-19,606.65
2004-10-20,591.38
2004-10-27,571.5
2005-01-04,592.46
2005-01-05,606.89
2005-01-06,592.74
2005-01-18,604.7
2005-01-20,623.84
2005-01-22,634.96
2005-01-24,627.59
2005-02-08,638.92
2005-02-10,648.2
2005-02-12,632.89
2005-02-16,646.44
2005-02-17,654.94
2005-02-17,666.04
2005-02-19,677.66
2005-02-20,687.12
2005-02-22,693.97
2005-02-23,703.51
2005-02-25,719.8
2005-02-26,729.61
2005-02-27,735.2
2005-03-25,742.4
2005-03-27,750.38
2005-03-29,767.03
2005-03-31,779.75
2005-04-01,787.93
2005-04-03,782.61
2005-04-06,790.05
2005-04-07,795.19
2005-04-08,768.97
2005-04-11,775.94
2005-04-13,784.62
2005-04-14,794.31
2005-04-15,806.6
2005-04-16,813.84
2005-04-17,825.39
2005-04-20,830.25
2005-04-21,836.72
2005-04-23,845.64
2005-04-24,855.12
2005-05-03,862.02
2005-05-04,865.52
2005-05-05,874.48
2005-05-06,882.86
2005-05-07,890.93
2005-05-08,900.97
2005-05-23,902.39
2005-05-25,907.25
2005-05-27,913.57
2005-05-30,919.85
2005-05-31,927.01
2005-06-03,949.47
2005-06-05,955.6
2005-06-08,925.33
2005-06-21,929.58
2005-06-23,899.8
2005-07-05,903.13
2005-07-07,906.48
2005-07-08,914.78
2005-07-09,920.72
2005-07-10,924.86
2005-07-20,927.36
2005-07-21,931.04
2005-07-22,933.45
2005-07-23,937.79
2005-07-24,947.19
2005-08-09,952.81
2005-08-11,954.62
2005-08-11,960.48
2005-08-12,965.43
2005-08-14,969.32
2005-08-14,979.83
2005-08-17,951.5
2005-08-29,953.46
2005-09-01,955.76
2005-09-03,929.53
2005-09-14,931.21
2005-09-16,933.54
2005-09-16,936.04
2005-09-17,943.34
2005-09-18,953.17
2005-10-19,957.68
2005-10-20,963.24
2005-10-21,968.42
2005-10-22,975.54
2005-10-23,984.39
2006-02-14,988.12
2006-02-16,990.66
2006-02-17,993.84
2006-02-18,964.72
2006-02-28,968.08
2006-03-02,972.37
2006-03-03,974.48
2006-03-04,998.04
2006-03-12,999.78
2006-03-15,1001.51
2006-03-16,1006.76
2006-03-18,1011.98
2006-03-19,987.08
2006-03-24,960.32
2006-04-18,964.85
2006-04-19,966.03
2006-04-20,970.12
2006-04-21,975.74
2006-04-22,981.16
2006-04-23,1005.2
2006-04-26,1007.37
2006-04-27,1009.21
2006-04-28,1013.85
2006-04-29,1017.07
2006-04-30,1021.81
2006-05-09,1025.68
2006-05-10,1027.93
2006-05-11,1031.44
2006-05-12,1036.91
2006-05-13,1039.96
2006-05-14,1061.3
2006-05-29,1063.99
2006-06-02,1065.04
2006-06-03,1068.02
2006-06-05,1073.32
2006-06-09,1080.4
2006-06-11,1099.46
2006-06-14,1100.93
2006-06-15,1103.24
2006-06-27,1103.93
2006-06-29,1104.81
2006-07-01,1109.23
2006-07-03,1109.95
2006-07-06,1113.07
2006-07-07,1116.32
2006-07-09,1102.08
2006-08-08,1104.08
2006-08-10,1105.36
2006-08-10,1076.73
2006-08-15,1077.77
2006-08-16,1079.42
2006-08-17,1084.63
2006-08-18,1055.28
2006-08-30,1057.32
2006-08-31,1059.17
2006-09-03,1060.57
2006-09-04,1062.51
2006-09-06,1033.38
2006-10-10,1034.31
2006-10-11,1004.49
2006-10-18,1007.71
2006-10-19,1014.76
2006-10-20,989.15
2006-11-13,966.3
2006-11-15,968.31
2006-11-17,979.66
2006-11-18,972.9
2007-01-02,974.51
2007-01-04,976.16
2007-01-05,977.84
2007-01-06,950.8
2007-01-16,952.76
2007-01-18,956.4
2007-01-20,962.28
2007-01-22,970.84
2007-01-24,951.3
2007-02-27,959.2
2007-02-28,962.74
2007-03-01,940.5
2007-03-10,945.09
2007-03-13,949.51
2007-03-13,954.27
2007-03-15,961.1
2007-03-17,976.02
2007-03-18,986.56
2007-03-23,987.74
2007-03-28,991.84
2007-03-29,969.95
2007-04-18,976.87
2007-04-19,980.1
2007-04-20,983.12
2007-04-21,990.27
2007-04-22,1014.69
2007-04-25,1017.46
2007-04-26,1020.33
2007-04-27,1022.5
2007-04-28,1029.76
2007-04-29,1038.4
2007-05-09,1039.91
2007-05-10,1046.71
2007-05-11,1057.9
2007-05-12,1063.63
2007-05-13,1070.95
2007-05-16,1072.08
2007-05-17,1074.28
2007-05-18,1081.64
2007-05-19,1087.79
2007-05-20,1074.67
2007-05-29,1077.35
2007-05-31,1078.38
2007-06-02,1080.12
2007-06-04,1086.42
2007-06-06,1091.01
2007-06-08,1100.14
2007-06-10,1119.6
2007-06-13,1121.82
2007-06-15,1123.28
2007-06-15,1092.53
2007-06-26,1094.41
2007-06-28,1095.24
2007-07-04,1099.03
2007-07-05,1104.62
2007-07-06,1109.44
2007-07-08,1096.06
2007-07-17,1096.77
2007-07-19,1099.11
2007-07-20,1102.06
2007-07-21,1104.13
2007-07-22,1105.85
2007-08-09,1108.03
2007-08-09,1113.12
2007-08-11,1114.8
2007-08-12,1091.44
2007-08-29,1092.38
2007-09-02,1094.04
2007-09-04,1067.41
2007-10-17,1071.89
2007-10-18,1077.38
2007-10-19,1049.57
2007-10-31,1051.37
2007-11-01,1055.81
2007-11-02,1060.89
2007-11-03,1067.25
2007-11-04,1043.69
2007-11-11,1050.24
2007-11-13,1026.36
2007-11-15,1038.16
2007-11-17,1026.89
2008-01-01,1028.29
2008-01-03,1029.49
2008-01-04,1030.67
2008-01-05,1036.22
2008-01-06,1010.58
2008-01-14,1012.23
2008-01-16,1014.62
2008-01-18,1018.54
2008-01-22,1024.15
2008-01-24,997.29
2008-02-20,1002.73
2008-02-21,973.52
2008-03-04,979.79
2008-03-05,981.35
2008-03-06,961.37
2008-03-15,963.17
2008-03-17,964.58
2008-03-19,972.31
2008-03-21,981.57
2008-03-22,965.55
2008-03-28,967.72
2008-03-30,975.0
2008-04-01,983.1
2008-04-02,992.87
2008-04-04,1000.9
2008-04-06,978.51
2008-04-23,988.11
2008-04-24,994.07
2008-04-25,1004.39
2008-04-26,1016.21
