Name,Elo,Wins,Losses,MatchesPlayed
Melzer J.,617.73,289,266,555
Spadea V.,415.98,112,126,238
Dent T.,583.7,80,78,158
Horna L.,501.94,85,94,179
Ancic M.,747.8,172,94,266
Martin A.,488.47,101,148,249
Beck K.,392.43,48,80,128
Vahaly B.,401.7,3,13,16
Moodie W.,543.04,38,51,89
Nieminen J.,530.35,281,263,544
Arthurs W.,540.45,38,48,86
Karlovic I.,494.91,340,310,650
Elsner D.,461.69,3,6,9
Sanguinetti D.,441.21,49,75,124
Lapentti N.,509.18,57,85,142
Labadze I.,453.14,19,30,49
Benneteau J.,651.61,256,276,532
Hrbaty D.,449.85,115,108,223
Clement A.,509.63,124,159,283
Hanescu V.,557.33,160,200,360
Burgsmuller L.,365.52,18,47,65
Llodra M.,633.24,153,151,304
Saulnier C.,484.97,48,58,106
Ginepri R.,541.72,144,154,298
Canas G.,507.49,118,82,200
Sluiter R.,480.95,36,55,91
Rusedski G.,542.52,57,50,107
Wawrinka S.,590.75,532,331,863
Ferreira W.,476.95,12,15,27
Reid T.,453.17,11,14,25
Verdasco F.,428.78,519,418,937
Ferrer D.,671.49,649,325,974
Levy H.,344.59,6,22,28
Portas A.,452.25,16,37,53
Blanco G.,384.0,7,19,26
van Lottum J.,400.48,3,12,15
Andreev I.,538.43,209,204,413
Ramirez-Hidalgo R.,352.33,61,116,177
Mankad H.,451.08,0,3,3
Amritraj P.,480.62,11,16,27
Dupuis A.,471.32,28,39,67
Popp A.,424.88,15,28,43
Mutis O.,412.43,7,16,23
Goldstein P.,498.48,39,51,90
Lisnard J.R.,377.33,13,40,53
Pless K.,385.89,12,38,50
Montanes A.,563.39,205,230,435
Srichaphan P.,576.36,97,89,186
Schalken S.,520.16,24,23,47
Udomchoke D.,310.39,14,49,63
Rastogi K.,467.3,1,4,5
Knowle J.,461.98,3,7,10
Moya C.,552.18,184,110,294
Okun N.,404.87,8,18,26
Vacek J.,449.78,7,16,23
Mantilla F.,517.42,29,32,61
Robredo T.,531.96,403,263,666
Tursunov D.,531.63,208,195,403
Nadal R.,919.96,997,197,1194
Ascione T.,342.58,17,46,63
Carlsen K.,480.52,43,63,106
Khalfan S.,471.45,0,2,2
Heuberger I.,438.3,9,16,25
Sargsian S.,404.09,19,36,55
Carraz G.,382.32,17,29,46
Schuettler R.,479.28,107,160,267
Youzhny M.,471.01,382,305,687
Ulihrach B.,394.5,11,28,39
Kiefer N.,685.52,127,80,207
Enqvist T.,433.92,19,31,50
Arazi H.,449.86,13,19,32
Henman T.,567.87,98,70,168
Sanchez D.,438.46,27,41,68
Hantschk M.,484.0,0,1,1
Grosjean S.,500.61,103,89,192
Chela J.I.,488.76,190,181,371
Rochus O.,487.94,154,180,334
Volandri F.,348.65,142,179,321
Calleri A.,471.74,112,106,218
Soderling R.,989.77,268,146,414
Gambill J.M.,432.86,23,36,59
Massu N.,427.38,107,123,230
Ljubicic I.,657.5,283,165,448
Escude N.,587.51,15,7,22
El Aynaoui Y.,510.75,9,17,26
Davydenko N.,588.92,411,229,640
Roddick A.,831.01,401,128,529
Koubek S.,532.22,74,93,167
Philippoussis M.,586.13,28,33,61
Bjorkman J.,523.19,72,92,164
Lee H.T.,527.08,70,86,156
Malisse X.,573.95,172,161,333
Novak J.,563.42,68,55,123
Gonzalez F.,657.29,236,126,362
Coria G.,555.64,95,51,146
Santoro F.,557.46,105,109,214
Gaudio G.,442.37,115,84,199
Stepanek R.,689.61,308,227,535
Kohlschreiber P.,540.83,424,342,766
Muller G.,556.64,192,196,388
Corretja A.,395.91,12,24,36
Kuerten G.,404.14,27,30,57
Nielsen M.,462.45,0,3,3
Hemmes F.,500.7,1,1,2
Rea S.,483.26,0,1,1
Martin T.,453.64,10,15,25
Hewitt L.,572.68,285,150,435
Johansson J.,674.01,65,39,104
Blake J.,562.43,258,170,428
Mirnyi M.,491.21,80,95,175
Verkerk M.,431.42,21,25,46
Kucera V.,500.03,1,1,2
Lopez F.,415.7,420,411,831
Fish M.,781.33,224,149,373
Bogomolov A.,499.44,59,87,146
Ferrero J.,467.36,0,2,2
Guccione C.,454.59,30,53,83
Costa A.,483.77,31,41,72
Jones A.,463.49,2,7,9
Patience O.,384.32,26,50,76
Hernandez O.,403.42,60,114,174
Golmard J.,487.68,3,4,7
Acasuso J.,637.5,136,120,256
Behrend T.,373.98,16,35,51
Mahut N.,610.02,172,204,376
Berdych T.,714.67,575,309,884
Saretta F.,468.45,25,35,60
Miranda I.,484.11,1,2,3
Safin M.,646.54,164,118,282
Larkham T.,484.0,0,1,1
Agassi A.,745.69,82,32,114
Kutsenko V.,485.31,0,1,1
van Scheppingen D.,427.97,8,17,25
Morrison J.,421.75,19,29,48
Federer R.,997.86,962,160,1122
Karanusic R.,400.94,11,34,45
Tabara M.,435.29,7,14,21
Nalbandian D.,747.63,262,123,385
Mello R.,424.41,43,77,120
Gasquet R.,473.3,570,364,934
Mayer F.,480.7,218,234,452
Kucera K.,462.4,11,16,27
Luczak P.,422.46,31,70,101
Salzenstein J.,413.72,6,16,22
Weiner G.,419.8,7,14,21
Pavel A.,457.57,72,86,158
de Chaunac S.,395.72,3,14,17
Rochus C.,350.18,60,114,174
Ferrero J.C.,649.11,226,151,377
Johansson T.,549.8,108,98,206
Santopadre V.,484.81,0,1,1
Ivanisevic G.,460.43,4,9,13
Seppi A.,498.29,347,391,738
Bracciali D.,477.87,29,48,77
Bohli S.,379.1,2,18,20
Galimberti G.,465.02,1,3,4
Kendrick R.,432.17,29,66,95
Hippensteel K.,470.68,1,3,4
Vliegen K.,420.71,74,101,175
Reichel A.,482.56,0,1,1
Mamiit C.,489.15,3,4,7
Fleishman Z.,457.22,5,13,18
Zabaleta M.,501.22,56,53,109
Vassallo-Arguello M.,395.14,43,72,115
