Date,Elo
2004-01-06,495.0
2004-01-13,500.0
2004-01-14,505.0
2004-01-16,510.0
2004-01-17,505.0
2004-01-20,510.0
2004-01-22,515.0
2004-01-24,510.0
2004-02-11,515.0
2004-02-12,510.0
2004-03-02,515.0
2004-03-03,520.0
2004-03-05,515.0
2004-03-13,520.0
2004-03-15,515.0
2004-03-29,520.0
2004-03-30,515.0
2004-04-14,520.0
2004-04-15,525.0
2004-07-06,530.0
2004-07-08,535.0
2004-07-09,530.0
2004-07-14,535.0
2004-07-15,540.0
2004-07-16,535.0
2004-07-28,530.0
2004-08-02,525.0
2004-08-10,530.0
2004-08-11,535.0
2004-08-14,540.0
2004-08-14,545.0
2004-08-15,550.0
2004-09-01,555.0
2004-09-04,550.0
2004-09-28,555.0
2004-09-29,550.0
2004-10-06,545.0
2004-10-19,550.0
2004-10-20,545.0
2004-10-27,540.0
2005-01-04,545.0
2005-01-05,550.0
2005-01-06,545.0
2005-01-18,550.0
2005-01-20,555.0
2005-01-22,560.0
2005-01-24,555.0
2005-02-08,560.0
2005-02-10,565.0
2005-02-12,560.0
2005-02-16,565.0
2005-02-17,570.0
2005-02-17,575.0
2005-02-19,580.0
2005-02-20,585.0
2005-02-22,590.0
2005-02-23,595.0
2005-02-25,600.0
2005-02-26,605.0
2005-02-27,610.0
2005-03-25,615.0
2005-03-27,620.0
2005-03-29,625.0
2005-03-31,630.0
2005-04-01,635.0
2005-04-03,630.0
2005-04-06,635.0
2005-04-07,640.0
2005-04-08,635.0
2005-04-11,640.0
2005-04-13,645.0
2005-04-14,650.0
2005-04-15,655.0
2005-04-16,660.0
2005-04-17,665.0
2005-04-20,670.0
2005-04-21,675.0
2005-04-23,680.0
2005-04-24,685.0
2005-05-03,690.0
2005-05-04,695.0
2005-05-05,700.0
2005-05-06,705.0
2005-05-07,710.0
2005-05-08,715.0
2005-05-23,720.0
2005-05-25,725.0
2005-05-27,730.0
2005-05-30,735.0
2005-05-31,740.0
2005-06-03,745.0
2005-06-05,750.0
2005-06-08,745.0
2005-06-21,750.0
2005-06-23,745.0
2005-07-05,750.0
2005-07-07,755.0
2005-07-08,760.0
2005-07-09,765.0
2005-07-10,770.0
2005-07-20,775.0
2005-07-21,780.0
2005-07-22,785.0
2005-07-23,790.0
2005-07-24,795.0
2005-08-09,800.0
2005-08-11,805.0
2005-08-11,810.0
2005-08-12,815.0
2005-08-14,820.0
2005-08-14,825.0
2005-08-17,820.0
2005-08-29,825.0
2005-09-01,830.0
2005-09-03,825.0
2005-09-14,830.0
2005-09-16,835.0
2005-09-16,840.0
2005-09-17,845.0
2005-09-18,850.0
2005-10-19,855.0
2005-10-20,860.0
2005-10-21,865.0
2005-10-22,870.0
2005-10-23,875.0
2006-02-14,880.0
2006-02-16,885.0
2006-02-17,890.0
2006-02-18,885.0
2006-02-28,890.0
2006-03-02,895.0
2006-03-03,900.0
2006-03-04,905.0
2006-03-12,910.0
2006-03-15,915.0
2006-03-16,920.0
2006-03-18,925.0
2006-03-19,920.0
2006-03-24,915.0
2006-04-18,920.0
2006-04-19,925.0
2006-04-20,930.0
2006-04-21,935.0
2006-04-22,940.0
2006-04-23,945.0
2006-04-26,950.0
2006-04-27,955.0
2006-04-28,960.0
2006-04-29,965.0
2006-04-30,970.0
2006-05-09,975.0
2006-05-10,980.0
2006-05-11,985.0
2006-05-12,990.0
2006-05-13,995.0
2006-05-14,1000.0
2006-05-29,1005.0
2006-06-02,1010.0
2006-06-03,1015.0
2006-06-05,1020.0
2006-06-09,1025.0
2006-06-11,1030.0
2006-06-14,1035.0
2006-06-15,1040.0
2006-06-27,1045.0
2006-06-29,1050.0
2006-07-01,1055.0
2006-07-03,1060.0
2006-07-06,1065.0
2006-07-07,1070.0
2006-07-09,1065.0
2006-08-08,1070.0
2006-08-10,1075.0
2006-08-10,1070.0
2006-08-15,1075.0
2006-08-16,1080.0
2006-08-17,1085.0
2006-08-18,1080.0
2006-08-30,1085.0
2006-08-31,1090.0
2006-09-03,1095.0
2006-09-04,1100.0
2006-09-06,1095.0
2006-10-10,1100.0
2006-10-11,1095.0
2006-10-18,1100.0
2006-10-19,1105.0
2006-10-20,1100.0
2006-11-13,1095.0
