Name,Elo,Wins,Losses,MatchesPlayed
Melzer J.,492.04,7,8,15
Spadea V.,615.72,16,8,24
Dent T.,514.87,10,9,19
Horna L.,544.45,11,9,20
Ancic M.,529.97,10,8,18
Martin A.,537.74,13,11,24
Beck K.,450.09,4,8,12
Vahaly B.,400.52,0,7,7
Moodie W.,436.62,2,7,9
Nieminen J.,543.76,11,8,19
Arthurs W.,533.44,8,6,14
Karlovic I.,400.63,1,8,9
Elsner D.,489.62,1,2,3
Sanguinetti D.,440.65,3,8,11
Lapentti N.,464.34,6,10,16
Labadze I.,552.17,7,5,12
Benneteau J.,512.76,3,3,6
Hrbaty D.,610.41,19,6,25
Clement A.,485.6,6,7,13
Hanescu V.,515.5,7,6,13
Burgsmuller L.,417.28,2,9,11
Llodra M.,546.57,5,2,7
Saulnier C.,503.85,8,7,15
Ginepri R.,501.22,8,8,16
Canas G.,520.08,10,9,19
Sluiter R.,480.92,9,10,19
Rusedski G.,482.63,2,3,5
Wawrinka S.,466.92,0,2,2
Ferreira W.,497.7,8,8,16
Reid T.,552.32,8,4,12
Verdasco F.,547.11,10,8,18
Ferrer D.,462.35,7,10,17
Levy H.,439.64,3,7,10
Portas A.,374.05,0,9,9
Blanco G.,430.94,3,8,11
van Lottum J.,447.73,2,6,8
Andreev I.,418.15,3,9,12
Ramirez-Hidalgo R.,427.93,5,11,16
Mankad H.,484.0,0,1,1
Amritraj P.,500.0,1,1,2
Dupuis A.,490.98,7,7,14
Popp A.,441.96,2,6,8
Mutis O.,442.78,0,4,4
Goldstein P.,485.33,2,3,5
Lisnard J.R.,442.74,2,6,8
Pless K.,484.0,0,1,1
Montanes A.,536.59,9,8,17
Srichaphan P.,475.56,9,10,19
Schalken S.,518.87,9,7,16
Udomchoke D.,484.0,0,1,1
Rastogi K.,484.0,0,1,1
Knowle J.,485.76,1,2,3
Moya C.,661.17,25,6,31
Okun N.,484.0,0,1,1
Vacek J.,490.06,2,3,5
Mantilla F.,462.43,5,8,13
Robredo T.,595.16,16,10,26
Tursunov D.,454.43,5,9,14
Nadal R.,576.93,12,7,19
Ascione T.,490.63,6,7,13
Carlsen K.,435.31,1,6,7
Khalfan S.,484.0,0,1,1
Heuberger I.,481.4,2,3,5
Sargsian S.,472.69,7,10,17
Carraz G.,492.49,7,7,14
Schuettler R.,541.35,8,9,17
Youzhny M.,514.39,9,9,18
Ulihrach B.,426.63,3,9,12
Kiefer N.,570.79,13,9,22
Enqvist T.,456.86,5,8,13
Arazi H.,496.61,6,6,12
Henman T.,611.76,16,7,23
Sanchez D.,489.47,10,12,22
Hantschk M.,484.0,0,1,1
Grosjean S.,584.06,11,4,15
Chela J.I.,600.98,16,10,26
Rochus O.,465.46,5,9,14
Volandri F.,501.38,7,7,14
Calleri A.,578.56,18,11,29
Soderling R.,504.57,9,9,18
Gambill J.M.,481.49,7,9,16
Massu N.,473.68,8,11,19
Ljubicic I.,538.22,12,8,20
Escude N.,564.9,12,6,18
El Aynaoui Y.,484.0,0,1,1
Davydenko N.,503.95,7,10,17
Roddick A.,712.12,27,6,33
Koubek S.,429.58,3,8,11
Philippoussis M.,482.15,5,6,11
Bjorkman J.,501.0,7,9,16
Lee H.T.,460.14,3,6,9
Malisse X.,467.18,5,9,14
Novak J.,537.1,8,5,13
Gonzalez F.,577.44,13,8,21
Coria G.,719.03,21,4,25
Santoro F.,465.27,5,8,13
Gaudio G.,538.7,12,11,23
Stepanek R.,485.25,6,8,14
Kohlschreiber P.,526.34,4,2,6
Muller G.,466.64,1,3,4
Corretja A.,453.79,5,9,14
Kuerten G.,593.21,16,7,23
Nielsen M.,487.62,0,1,1
Hemmes F.,500.7,1,1,2
Rea S.,483.26,0,1,1
Martin T.,515.76,8,8,16
Hewitt L.,616.06,14,4,18
Johansson J.,561.48,10,5,15
Blake J.,539.8,13,9,22
Mirnyi M.,531.53,10,9,19
Verkerk M.,519.73,9,7,16
Kucera V.,500.03,1,1,2
Lopez F.,501.97,8,9,17
Fish M.,531.04,9,7,16
Bogomolov A.,468.74,3,6,9
Ferrero J.,467.36,0,2,2
Guccione C.,498.59,2,2,4
Costa A.,445.43,5,9,14
