Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Odd_1,Odd_2,Score
AAPT Championships,5/01/2004,International,Outdoor,Hard,1st Round,3,MelzerJ,SpadeaV,SpadeaV,2.62,1.4383333333333332,6-7 2-6
AAPT Championships,5/01/2004,International,Outdoor,Hard,1st Round,3,DentT,HornaL,DentT,1.16,4.5,6-2 6-3
AAPT Championships,5/01/2004,International,Outdoor,Hard,1st Round,3,AncicM,MartinA,MartinA,1.72,2.0,3-6 7-6 6-7
AAPT Championships,5/01/2004,International,Outdoor,Hard,1st Round,3,BeckK,VahalyB,BeckK,1.83,1.83,6-2 6-2
AAPT Championships,5/01/2004,International,Outdoor,Hard,1st Round,3,MoodieW,NieminenJ,NieminenJ,2.75,1.4,6-4 6-7 5-7
AAPT Championships,5/01/2004,International,Outdoor,Hard,1st Round,3,ArthursW,KarlovicI,ArthursW,1.8,1.909,6-7 7-6 7-5
AAPT Championships,6/01/2004,International,Outdoor,Hard,1st Round,3,ElsnerD,SanguinettiD,SanguinettiD,1.9,1.8,1-6 1-6
AAPT Championships,6/01/2004,International,Outdoor,Hard,1st Round,3,LapenttiN,LabadzeI,LapenttiN,1.533,2.385,7-5 6-1
AAPT Championships,6/01/2004,International,Outdoor,Hard,1st Round,3,BenneteauJ,HrbatyD,HrbatyD,2.375,1.533,1-6 4-6
AAPT Championships,6/01/2004,International,Outdoor,Hard,1st Round,3,ClementA,HanescuV,ClementA,1.444,2.625,6-3 6-2
AAPT Championships,6/01/2004,International,Outdoor,Hard,1st Round,3,BurgsmullerL,LlodraM,LlodraM,2.2,1.615,3-6 2-6
AAPT Championships,7/01/2004,International,Outdoor,Hard,1st Round,3,SaulnierC,GinepriR,SaulnierC,2.625,1.444,6-3 6-4
AAPT Championships,7/01/2004,International,Outdoor,Hard,1st Round,3,CanasG,SluiterR,SluiterR,1.364,3.0,4-6 4-6
AAPT Championships,7/01/2004,International,Outdoor,Hard,1st Round,3,RusedskiG,WawrinkaS,RusedskiG,1.167,4.5,6-4 6-2
AAPT Championships,7/01/2004,International,Outdoor,Hard,1st Round,3,FerreiraW,ReidT,ReidT,1.444,2.625,0-6 1-6
AAPT Championships,7/01/2004,International,Outdoor,Hard,2nd Round,3,LlodraM,LapenttiN,LlodraM,2.0,1.727,6-1 6-3
AAPT Championships,7/01/2004,International,Outdoor,Hard,2nd Round,3,ArthursW,SpadeaV,SpadeaV,2.1,1.667,4-6 7-6 3-6
AAPT Championships,7/01/2004,International,Outdoor,Hard,2nd Round,3,DentT,BeckK,DentT,1.286,3.5,7-6 7-5
AAPT Championships,8/01/2004,International,Outdoor,Hard,2nd Round,3,SanguinettiD,NieminenJ,NieminenJ,2.25,1.571,6-7 4-6
AAPT Championships,8/01/2004,International,Outdoor,Hard,2nd Round,3,ReidT,SluiterR,ReidT,2.1,1.667,6-3 6-2
AAPT Championships,8/01/2004,International,Outdoor,Hard,2nd Round,3,RusedskiG,SaulnierC,SaulnierC,1.4,2.75,2-6 2-6
AAPT Championships,8/01/2004,International,Outdoor,Hard,2nd Round,3,HrbatyD,MartinA,HrbatyD,1.667,2.1,6-2 6-3
AAPT Championships,9/01/2004,International,Outdoor,Hard,Quarterfinals,3,ReidT,NieminenJ,NieminenJ,2.1,1.667,2-6 5-7
AAPT Championships,9/01/2004,International,Outdoor,Hard,Quarterfinals,3,HrbatyD,SaulnierC,HrbatyD,1.833,1.833,6-4 7-6
AAPT Championships,9/01/2004,International,Outdoor,Hard,Quarterfinals,3,SpadeaV,LlodraM,LlodraM,1.571,2.25,4-6 2-6
